datum,niveau,schepcorner_id,ploegnaam,ervaring_schepper,ervaring_kopper,ervaring_duo,is_thuisploeg,kwart,is_schepper_bank,is_kopper_bank,schepper_pos_rechts,positie,kop_verplaatsen_achter,kop_veel_verplaatsen,kop_hor_verplaatsen,goal,klassement_thuis,klassement_uit,uitslag_thuis,uitslag_uit,score_voor_thuis,score_voor_uit,klassement,klassement_veschil,is_degradatieplaats,is_promotieplaats,score_verschil_voor,periode,schepcorner_nummer,goal_lag_ploeg,goal_lag_wedstrijd
2024-09-04,kern_laag,46,bbc united,3.7572254335260116,3.7167630057803467,3.485549132947977,0,4,0,0,1,6,0,0,0,1,1,7,5,6,5,3,7.0,6,0,0,2,1,4,0.0,1.0
2024-09-03,kern_hoog,47,reflexin cafespelen,4.0,3.0,3.0,0,3,0,0,1,4,0,1,1,1,7,6,3,9,3,4,6.0,1,0,0,1,1,1,1.0,0.6616915422885572
2024-09-03,kern_laag,48,de coulissen,4.0,4.0,4.0,1,1,0,0,0,6,0,0,0,1,,,5,2,2,0,,,0,0,2,1,1,1.0,0.6616915422885572
2024-09-03,kern_laag,49,fc plateau,3.0,5.0,3.0,0,2,0,0,1,5,0,1,1,0,,,5,2,3,0,,,0,0,3,1,2,0.6616915422885572,1.0
2024-09-03,kern_laag,50,fc plateau,3.0,5.0,3.0,0,4,0,0,1,5,0,1,1,0,,,5,2,4,1,,,0,0,3,1,3,0.0,0.0
2024-09-03,kern_laag,51,de coulissen,4.0,4.0,4.0,1,4,0,0,0,6,0,0,0,1,,,5,2,4,2,,,0,0,2,1,4,1.0,0.0
2025-03-15,kern_laag,52,marathon,5.0,5.0,5.0,1,1,1,0,1,5,0,0,0,1,1,5,4,1,0,0,1.0,4,0,1,0,4,1,0.0,0.6616915422885572
2025-03-15,kern_laag,53,marathon,5.0,5.0,5.0,1,2,0,0,1,5,0,0,0,0,1,5,4,1,2,0,1.0,4,0,1,2,4,2,1.0,1.0
2025-03-15,kern_laag,54,poba juniors,3.0,2.0,3.0,0,3,0,0,0,2,0,0,1,0,1,5,4,1,2,0,5.0,4,0,0,2,4,3,0.0,0.0
2024-09-02,kern_hoog,55,mvc muggi,4.0,4.0,4.0,1,2,0,0,1,5,0,0,0,1,,,7,5,5,0,,,0,0,5,1,1,1.0,0.6616915422885572
2025-03-19,kern_laag,56,marathon,5.0,5.0,5.0,1,2,0,0,1,5,0,0,0,0,1,2,1,3,0,1,1.0,1,0,1,1,4,1,0.0,0.6616915422885572
2025-03-19,kern_laag,57,tengstar,5.0,4.0,4.0,0,3,0,0,1,4,0,0,0,1,1,2,1,3,0,1,2.0,1,0,1,1,4,2,0.0,0.0
2025-03-19,kern_laag,58,marathon,5.0,5.0,5.0,1,3,1,0,1,5,0,0,0,0,1,2,1,3,0,2,1.0,1,0,1,2,4,3,0.0,1.0
2025-03-19,kern_laag,59,marathon,5.0,5.0,5.0,1,3,1,0,1,5,0,0,0,0,1,2,1,3,1,3,1.0,1,0,1,2,4,4,0.0,0.0
2024-08-30,kern_laag,60,mvc mogelijks,4.0,5.0,4.0,1,2,0,1,1,1,0,0,1,1,,,11,3,3,2,,,0,0,1,1,1,0.6616915422885572,0.6616915422885572
2024-08-30,kern_laag,61,mvc mogelijks,4.0,5.0,4.0,1,3,1,0,0,2,0,0,0,1,,,11,3,7,2,,,0,0,5,1,2,1.0,1.0
2024-08-29,kern_laag,62,enerice mvc,4.0,4.0,4.0,0,2,0,0,0,5,0,0,0,1,,,5,14,1,5,,,0,0,4,1,1,0.6616915422885572,0.6616915422885572
